Price,Close,High,Low,Open,Volume
Ticker,0004G0.KS,0004G0.KS,0004G0.KS,0004G0.KS,0004G0.KS
Date,,,,,
2025-01-21,9757.4423828125,9796.94619812753,9713.000590583091,9796.94619812753,18620
2025-01-22,9777.1943359375,9792.008266749526,9732.75254350142,9787.070289812184,17025
2025-01-23,9708.0625,9713.000476856561,9693.248569430316,9698.186546286877,6675
2025-01-24,9708.0625,9752.504291709054,9703.124523143439,9717.938453713123,9276
2025-01-31,9925.333984375,9935.209938588308,9851.264327775187,9880.892190415112,7529
2025-02-03,9787.0703125,9856.201989783047,9767.318404704843,9856.201989783047,4265
2025-02-04,9861.1396484375,9885.829532384514,9836.449764490486,9856.201671648098,1582
2025-02-05,9708.0625,9792.008106561547,9708.0625,9792.008106561547,2173
2025-02-06,9777.1943359375,9792.008266749526,9742.628497376105,9742.628497376105,1717
2025-02-07,9698.1865234375,9717.93843081721,9688.310569747646,9713.000453972283,4457
2025-02-10,9643.869140625,9673.49700280818,9629.055209533411,9663.62104874712,2247
2025-02-11,9703.1240234375,9712.999976642017,9673.496163823951,9673.496163823951,5828
2025-02-12,9747.56640625,9767.31831386145,9732.752475541414,9767.31831386145,2863
2025-02-13,9633.9931640625,9683.372934252466,9633.9931640625,9668.559003195476,2959
2025-02-14,9688.3115234375,9703.125455430523,9658.683659451452,9688.3115234375,3171
2025-02-17,9624.1171875,9643.869095529759,9614.241233485121,9643.869095529759,4517
2025-02-18,9663.62109375,9673.497047857052,9629.05525437532,9653.745139642948,1753
2025-02-19,9653.744140625,9688.309976422635,9638.930210997443,9688.309976422635,6483
2025-02-20,9722.876953125,9861.140312539677,9683.373136149377,9861.140312539677,714
2025-02-21,9767.318359375,9792.00824400436,9752.504428597384,9792.00824400436,7157
2025-02-24,9742.6279296875,9796.945672833248,9708.062093140205,9792.007696183635,1644
2025-02-25,9767.318359375,9777.194313226744,9752.504428597384,9762.380382449128,3495
2025-02-26,9831.51171875,9831.51171875,9787.069927957056,9792.007904711829,3721
2025-02-27,9796.9462890625,9801.884266022713,9703.124726818454,9732.752588579731,1714
2025-02-28,9885.830078125,9895.706032249,9811.760422194991,9856.202215752997,1801
2025-03-04,9945.0859375,9945.0859375,9880.892234824974,9910.520097598062,2992
2025-03-05,9708.0625,9747.566314852493,9703.124523143439,9737.690361139368,3546
2025-03-06,9624.1171875,9643.869095529759,9589.551348447922,9643.869095529759,8883
2025-03-07,9668.55859375,9708.06240822906,9668.55859375,9708.06240822906,5531
2025-03-10,9866.078125,9890.768010197698,9787.070492367367,9792.008469406906,4373
2025-03-11,9994.4658203125,9994.4658203125,9900.64425381747,9964.837957208807,47746
2025-03-12,9609.3037109375,9648.8075288653,9599.42775645555,9643.869551624326,9432
2025-03-13,9441.412109375,9480.915925732217,9436.474132330348,9480.915925732217,5768
2025-03-14,9382.15625,9416.72208881579,9382.15625,9401.908157894737,2997
2025-03-17,9352.5283203125,9406.846066628992,9342.652366436774,9406.846066628992,2851
2025-03-18,9540.1708984375,9540.1708984375,9490.79113188244,9535.232921781993,3422
2025-03-19,9540.1708984375,9554.984828404018,9530.294945126489,9545.108875093007,2522
2025-03-20,9663.62109375,9673.497047857052,9633.993231428845,9673.497047857052,4217
2025-03-21,9589.55078125,9643.868525119078,9589.55078125,9604.364711396112,4099
2025-03-24,9633.9931640625,9633.9931640625,9584.613393872532,9604.36530194852,1940
2025-03-25,9708.0625,9737.690361139368,9708.0625,9737.690361139368,3867
2025-03-26,9604.365234375,9629.055119296272,9594.489280406491,9609.303211359254,781
