Price,Close,High,Low,Open,Volume
Ticker,0015B0.KS,0015B0.KS,0015B0.KS,0015B0.KS,0015B0.KS
Date,,,,,
2025-02-25,9460.0,9640.0,9425.0,9640.0,118585
2025-02-26,9270.0,9580.0,9225.0,9580.0,276260
2025-02-27,9505.0,9530.0,9280.0,9445.0,810584
2025-02-28,9250.0,9340.0,9100.0,9100.0,632499
2025-03-04,9235.0,9525.0,9030.0,9525.0,236819
2025-03-05,9125.0,9275.0,9100.0,9275.0,216849
2025-03-06,9145.0,9205.0,9095.0,9205.0,226077
2025-03-07,8820.0,8865.0,8780.0,8855.0,129289
2025-03-10,8825.0,8915.0,8775.0,8775.0,154086
2025-03-11,8610.0,8775.0,8465.0,8775.0,145297
2025-03-12,8655.0,8720.0,8610.0,8720.0,147384
2025-03-13,8665.0,8820.0,8665.0,8820.0,127243
2025-03-14,8615.0,8840.0,8615.0,8840.0,117674
2025-03-17,8820.0,8900.0,8820.0,8870.0,121457
2025-03-18,8985.0,9080.0,8930.0,9080.0,117852
2025-03-19,8850.0,8995.0,8840.0,8995.0,139609
2025-03-20,9050.0,9185.0,8750.0,8750.0,119425
2025-03-21,9070.0,9195.0,9055.0,9185.0,111772
2025-03-24,9200.0,9340.0,9090.0,9340.0,108920
2025-03-25,9405.0,10050.0,9295.0,10050.0,116608
2025-03-26,9375.0,9465.0,9355.0,9465.0,258989
2025-03-27,9060.0,9355.0,8990.0,9355.0,399570
2025-03-28,8875.0,8875.0,8780.0,8780.0,131027
2025-03-31,8515.0,8670.0,8480.0,8480.0,17107
2025-04-01,8585.0,8655.0,8490.0,8490.0,4416
2025-04-02,8655.0,8710.0,8545.0,8545.0,2262
2025-04-03,8500.0,8555.0,8055.0,8055.0,7624
2025-04-04,8165.0,8485.0,7945.0,7945.0,10915
2025-04-07,7510.0,7935.0,7310.0,7935.0,37624
2025-04-08,7965.0,8145.0,7890.0,8145.0,5830
2025-04-09,7595.0,8135.0,7480.0,8135.0,8691
2025-04-10,8430.0,9500.0,8345.0,9500.0,7175
2025-04-11,8240.0,8680.0,7920.0,8680.0,33887
2025-04-14,8200.0,8235.0,8155.0,8155.0,24371
2025-04-15,8225.0,8370.0,8170.0,8370.0,1494
2025-04-16,8060.0,8205.0,8060.0,8190.0,6171
2025-04-17,8095.0,8095.0,8015.0,8030.0,7346
2025-04-18,8125.0,8175.0,8080.0,8175.0,44757
2025-04-21,7960.0,8070.0,7910.0,7955.0,9139
2025-04-22,7860.0,7960.0,7805.0,7960.0,6770
2025-04-23,8250.0,8320.0,7935.0,7935.0,51373
2025-04-24,8330.0,8395.0,8315.0,8395.0,10883
2025-04-25,8785.0,8790.0,8425.0,8425.0,15376
2025-04-28,8950.0,9060.0,8907.0,9060.0,5398
2025-04-29,9025.0,9055.0,8950.0,8950.0,106282
2025-04-30,8935.0,9030.0,8915.0,9025.0,103914
2025-05-02,8825.0,8990.0,8825.0,8935.0,8537
2025-05-07,8775.0,9065.0,8670.0,9065.0,2973
2025-05-08,8820.0,9005.0,8710.0,9005.0,3179
2025-05-09,9005.0,9065.0,8965.0,9050.0,118660
2025-05-12,9235.0,9235.0,9105.0,9190.0,114656
2025-05-13,9420.0,10000.0,9365.0,10000.0,342833
2025-05-14,9830.0,9910.0,9605.0,9605.0,27008
2025-05-15,9790.0,9940.0,9770.0,9940.0,17924
2025-05-16,9605.0,9900.0,9605.0,9900.0,7323
2025-05-19,9630.0,9690.0,9230.0,9605.0,583242
2025-05-20,9655.0,9770.0,9650.0,9770.0,1755
2025-05-21,9590.0,9835.0,9590.0,9835.0,2160
2025-05-22,9500.0,9500.0,9365.0,9485.0,3380
2025-05-23,9560.0,9610.0,9530.0,9550.0,7124
2025-05-26,9490.0,9730.0,9465.0,9730.0,119272
2025-05-27,9535.0,9545.0,9490.0,9490.0,6959
2025-05-28,9780.0,9820.0,9675.0,9675.0,685285
2025-05-29,9920.0,9980.0,9840.0,9850.0,1254888
2025-05-30,9635.0,9920.0,9345.0,9920.0,8242
2025-06-02,9495.0,9655.0,9450.0,9450.0,16963
2025-06-04,9870.0,9920.0,9670.0,9675.0,5395
2025-06-05,9755.0,9940.0,9725.0,9940.0,5909
2025-06-09,9635.0,9755.0,9595.0,9755.0,11301
2025-06-10,9795.0,9825.0,9715.0,9755.0,11870
2025-06-11,9725.0,9940.0,9605.0,9940.0,4148
2025-06-12,9750.0,9905.0,9705.0,9905.0,123649
2025-06-13,9485.0,9735.0,9480.0,9735.0,76930
2025-06-16,9845.0,9885.0,9485.0,9485.0,114450
2025-06-17,10095.0,10160.0,9830.0,9950.0,13505
2025-06-18,10190.0,10440.0,10050.0,10440.0,8217
2025-06-19,10750.0,10870.0,10520.0,10720.0,59979
2025-06-20,10700.0,10800.0,10590.0,10800.0,134569
2025-06-23,11000.0,11015.0,10665.0,10665.0,663194
2025-06-24,11270.0,11605.0,11215.0,11600.0,98765
2025-06-25,11025.0,11110.0,10930.0,11110.0,94343
2025-06-26,10685.0,10890.0,10575.0,10885.0,44824
2025-06-27,10960.0,11100.0,10835.0,11005.0,35053
2025-06-30,10690.0,10995.0,10665.0,10995.0,64095
2025-07-01,10780.0,10885.0,10695.0,10695.0,61179
2025-07-02,10550.0,10825.0,10385.0,10825.0,36703
2025-07-03,10765.0,10825.0,10660.0,10825.0,100330
2025-07-04,10825.0,10915.0,10790.0,10915.0,29221
2025-07-07,10800.0,10810.0,10710.0,10800.0,33871
2025-07-08,10775.0,10785.0,10645.0,10705.0,528560
2025-07-09,10750.0,10790.0,10655.0,10790.0,481249
2025-07-10,10900.0,10920.0,10780.0,10800.0,520391
2025-07-11,11025.0,11055.0,10930.0,11055.0,33595
2025-07-14,10980.0,11070.0,10895.0,11070.0,58115
2025-07-15,11300.0,11320.0,11130.0,11130.0,100737
