Date,Close,High,Low,Open,Volume
,0015K0.KS,0015K0.KS,0015K0.KS,0015K0.KS,0015K0.KS
2025-02-18,9995.0,10005.0,9955.0,9990.0,749888
2025-02-19,9990.0,10030.0,9975.0,10030.0,877043
2025-02-20,9780.0,9820.0,9780.0,9820.0,781292
2025-02-21,9515.0,9590.0,9510.0,9590.0,692792
2025-02-24,9165.0,9295.0,9165.0,9215.0,679340
2025-02-25,9065.0,9575.0,8935.0,9110.0,1210443
2025-02-26,8910.0,8995.0,8910.0,8995.0,428062
2025-02-27,9095.0,9095.0,8965.0,8965.0,632430
2025-02-28,8975.0,9020.0,8910.0,9020.0,515868
2025-03-04,8945.0,8965.0,8850.0,8965.0,563682
2025-03-05,8720.0,8785.0,8720.0,8785.0,504509
2025-03-06,8730.0,8800.0,8720.0,8790.0,731354
2025-03-07,8435.0,8980.0,8430.0,8980.0,433088
2025-03-10,8305.0,8410.0,8305.0,8370.0,449569
2025-03-11,7965.0,8305.0,7885.0,8305.0,501097
2025-03-12,7955.0,8055.0,7955.0,7965.0,549145
2025-03-13,7950.0,8100.0,7950.0,8030.0,590442
2025-03-14,7915.0,8020.0,7915.0,7945.0,400601
2025-03-17,7960.0,8080.0,7955.0,8080.0,56306
2025-03-18,8205.0,8220.0,8150.0,8150.0,2350
2025-03-19,8110.0,8130.0,8040.0,8110.0,131758
2025-03-20,8395.0,8415.0,8310.0,8400.0,8375
2025-03-21,8355.0,8400.0,8355.0,8400.0,7364
2025-03-24,8480.0,8480.0,8355.0,8460.0,71564
2025-03-25,8595.0,8615.0,8510.0,8510.0,1458
2025-03-26,8560.0,8580.0,8510.0,8510.0,1901
2025-03-27,8400.0,8420.0,8325.0,8375.0,40387
2025-03-28,8310.0,8365.0,8295.0,8295.0,3333
2025-03-31,7990.0,8045.0,7950.0,8045.0,51055
2025-04-01,7970.0,8000.0,7940.0,8000.0,4310
2025-04-02,8040.0,8090.0,7985.0,8035.0,2326
2025-04-03,7950.0,8040.0,7870.0,8040.0,408
2025-04-04,7430.0,7620.0,7420.0,7620.0,4897
2025-04-07,6980.0,7120.0,6920.0,7085.0,12625
