Price,Close,High,Low,Open,Volume
Ticker,0028X0.KS,0028X0.KS,0028X0.KS,0028X0.KS,0028X0.KS
Date,,,,,
2025-05-27,9865.8251953125,9945.750867780855,9810.876295490507,9945.750867780855,92710
2025-05-28,10010.6904296875,10065.639329251653,9990.709011664172,10065.639329251653,73761
2025-05-29,10175.537109375,10195.518527361008,10115.592855416973,10170.541754878497,7452
2025-05-30,10055.6494140625,10075.630833663221,9955.742316058899,9990.709800360159,6171
2025-06-02,9960.7373046875,10055.649044300872,9930.76517638854,10055.649044300872,4470
2025-06-04,10060.64453125,10110.5980790715,10050.6538216857,10110.5980790715,8366
2025-06-05,9940.755859375,9995.704761110239,9930.765149968593,9995.704761110239,4169
2025-06-09,10170.5419921875,10225.490892931146,10120.588446056912,10225.490892931146,7897
2025-06-10,10190.5234375,10190.5234375,10045.65815333946,10045.65815333946,3913
2025-06-11,10330.3935546875,10330.3935546875,10175.537558461527,10270.449298083897,5567
2025-06-12,10330.3935546875,10440.29135846077,10290.430716951765,10330.3935546875,4426
2025-06-13,10125.583984375,10155.556112597127,9995.70476207912,10120.588629671312,3913
2025-06-16,10085.62109375,10085.62109375,9910.783680039624,9975.723290846336,383626
2025-06-17,10360.365234375,10360.365234375,10190.523181352459,10245.472080859752,12681
2025-06-18,10275.4443359375,10355.370008944305,10190.523308367769,10355.370008944305,8577
2025-06-19,10630.115234375,10675.073428505346,10540.198846114308,10675.073428505346,24743
2025-06-20,10540.1982421875,10635.109979913359,10485.249341398845,10555.184306038951,78361
2025-06-23,10909.8544921875,10909.8544921875,10735.017080453727,10754.998498937586,581460
2025-06-24,11114.6640625,11114.6640625,11004.766260533708,11004.766260533708,227880
2025-06-25,11064.7109375,11114.664485750563,10979.789905474041,11114.664485750563,209703
2025-06-26,10660.0869140625,10784.970781378135,10600.142657750996,10784.970781378135,22035
2025-06-27,10874.8876953125,10889.873760120005,10705.045627494113,10774.980596595802,151134
2025-06-30,10715.0361328125,10740.01290701486,10520.21729403409,10740.01290701486,274677
2025-07-01,10874.8876953125,11049.725118066719,10779.975951531636,11049.725118066719,68013
2025-07-02,10879.8828125,10919.845651113408,10675.07326460629,10919.845651113408,67427
2025-07-03,10879.8828125,10974.794554206841,10869.892102846648,10919.845651113408,195068
2025-07-04,10959.80859375,11089.6878204763,10939.827174253645,11084.692465602211,243286
2025-07-07,10974.7939453125,11069.705681753527,10974.7939453125,11069.705681753527,157925
2025-07-08,11229.5576171875,11279.511165306661,11204.58084312792,11259.529746058997,97273
2025-07-09,11154.626953125,11219.566563689543,11094.682697219268,11219.566563689543,87791
2025-07-10,11274.515625,11329.464527027027,11239.548141891892,11289.501689189188,119721
2025-07-11,11389.4091796875,11394.40453459087,11309.483501233552,11309.483501233552,123438
2025-07-14,11189.5947265625,11194.590081351143,11124.655114310128,11194.590081351143,107488
2025-07-15,11439.3623046875,11444.357659405705,11359.436629196234,11409.390176378276,61868
2025-07-16,11359.4365234375,11429.371488841249,11284.506203362054,11429.371488841249,70463
2025-07-17,11669.1484375,11714.106629254067,11524.283152959119,11524.283152959119,68658
2025-07-18,11888.9443359375,12078.76781693146,11804.023304966518,12078.76781693146,80581
2025-07-21,11759.0654296875,11873.958592339503,11714.107235606283,11873.958592339503,82863
2025-07-22,11544.2646484375,11659.157805907886,11474.329683020742,11594.218195163754,63773
2025-07-23,11574.2373046875,11574.2373046875,11504.302336079116,11559.251239985702,39559
2025-07-24,11509.296875,11644.171447753906,11489.315456814236,11644.171447753906,49399
2025-07-25,11574.2373046875,11594.218724289894,11464.339496874325,11464.339496874325,34422
2025-07-28,11819.0087890625,11819.0087890625,11664.152799011385,11674.143508046942,45241
