Date,Close,High,Low,Open,Volume
,0036Z0.KS,0036Z0.KS,0036Z0.KS,0036Z0.KS,0036Z0.KS
2025-04-22,9735.0,9945.0,9620.0,9945.0,182178
2025-04-23,10005.0,10055.0,9965.0,9985.0,96833
2025-04-24,9980.0,10505.0,9935.0,10505.0,86999
2025-04-25,10230.0,10275.0,10130.0,10275.0,86357
2025-04-28,10170.0,10385.0,10150.0,10385.0,87396
2025-04-29,10275.0,10350.0,10270.0,10350.0,386177
2025-04-30,10250.0,10370.0,10045.0,10370.0,113036
2025-05-02,10040.0,10260.0,10040.0,10245.0,115142
2025-05-07,9850.0,9925.0,9725.0,9925.0,156259
2025-05-08,9920.0,9920.0,9870.0,9885.0,321111
2025-05-09,9790.0,9900.0,9760.0,9900.0,143368
2025-05-12,9990.0,9990.0,9840.0,9850.0,148282
2025-05-13,10030.0,10050.0,9945.0,10050.0,127694
2025-05-14,10070.0,10090.0,10010.0,10090.0,88099
2025-05-15,9805.0,9940.0,9795.0,9940.0,88640
2025-05-16,9960.0,9965.0,9900.0,9900.0,92344
2025-05-19,9960.0,9960.0,9880.0,9960.0,87114
2025-05-20,9875.0,9880.0,9805.0,9880.0,79069
2025-05-21,9880.0,9940.0,9850.0,9940.0,79233
2025-05-22,9735.0,9870.0,9565.0,9870.0,81570
2025-05-23,9640.0,9705.0,9640.0,9700.0,80770
2025-05-26,9780.0,9785.0,9705.0,9710.0,95746
2025-05-27,9730.0,9795.0,9710.0,9795.0,94306
2025-05-28,9835.0,9850.0,9810.0,9850.0,93224
2025-05-29,9875.0,9900.0,9800.0,9835.0,99314
2025-05-30,9790.0,9790.0,9710.0,9735.0,172932
2025-06-02,9735.0,9800.0,9735.0,9795.0,189183
2025-06-04,9975.0,10070.0,9970.0,9995.0,169316
2025-06-05,9870.0,9880.0,9810.0,9880.0,173949
2025-06-09,9850.0,9895.0,9840.0,9895.0,170693
2025-06-10,9820.0,9820.0,9770.0,9795.0,192031
2025-06-11,9955.0,9955.0,9895.0,9895.0,175908
2025-06-12,9925.0,10055.0,9880.0,10050.0,190281
2025-06-13,10185.0,10205.0,9930.0,9930.0,188949
2025-06-16,10205.0,10260.0,10200.0,10225.0,217717
2025-06-17,10130.0,10145.0,10020.0,10115.0,178885
2025-06-18,10215.0,10335.0,10140.0,10335.0,174932
2025-06-19,10230.0,10235.0,10140.0,10195.0,171428
2025-06-20,10135.0,10200.0,10065.0,10200.0,174401
2025-06-23,10350.0,10350.0,10170.0,10170.0,118605
2025-06-24,9930.0,10120.0,9925.0,10120.0,182822
2025-06-25,9890.0,9930.0,9840.0,9900.0,176937
2025-06-26,9865.0,9880.0,9795.0,9795.0,173308
2025-06-27,9980.0,10010.0,9935.0,9965.0,177435
2025-06-30,9970.0,10040.0,9925.0,9995.0,111303
2025-07-01,9705.0,10060.0,9705.0,10060.0,17785
2025-07-02,9850.0,9910.0,9775.0,9800.0,3259
2025-07-03,9965.0,9965.0,9855.0,9925.0,6683
2025-07-04,9965.0,10000.0,9910.0,9995.0,5328
