Price,Close,High,Low,Open,Volume
Ticker,0040Y0.KS,0040Y0.KS,0040Y0.KS,0040Y0.KS,0040Y0.KS
Date,,,,,
2025-04-22,9316.7783203125,9330.816660323015,9284.022193621295,9312.098873642328,196230
2025-04-23,9438.443359375,9499.27616238535,9391.648895520884,9499.27616238535,213865
2025-04-24,9475.8798828125,9522.674351369598,9457.162095389662,9517.99490451389,151550
2025-04-25,9569.46875,9639.660452322738,9527.353728606357,9527.353728606357,142193
2025-04-28,9536.7119140625,9611.583057646896,9536.7119140625,9611.583057646896,128003
2025-04-29,9630.3017578125,9639.660651649052,9550.751160201804,9550.751160201804,126303
2025-04-30,9620.9423828125,9658.377956286478,9569.468469285779,9634.980722865243,139557
2025-05-02,9630.3017578125,9728.5701430963,9620.942863975946,9620.942863975946,135916
2025-05-07,9466.521484375,9499.277614078721,9405.688672068092,9499.277614078721,141908
2025-05-08,9574.1484375,9583.5073313783,9532.033415047654,9546.071755865103,94182
2025-05-09,9761.3251953125,9789.40187372663,9639.659588851271,9649.018481655981,99477
2025-05-12,9808.1201171875,9808.1201171875,9733.248971254772,9761.325650979545,121750
2025-05-13,9808.1201171875,9868.952923257842,9770.684544221136,9826.837903670683,109606
2025-05-14,9915.7470703125,9957.862088544123,9859.593712670334,9920.42651678268,97423
2025-05-15,9836.197265625,9929.786202500594,9826.838371937441,9920.427308813036,128990
2025-05-16,9882.9912109375,9901.708997321852,9831.517298380533,9901.708997321852,106550
2025-05-19,9836.197265625,9882.991734062798,9808.120584562323,9882.991734062798,124042
2025-05-20,9850.2353515625,9887.67092534516,9826.838117948337,9840.876458116834,93563
2025-05-21,9784.72265625,9850.23490741571,9775.363763226327,9850.23490741571,102275
2025-05-22,9733.25,9733.25,9653.699399038462,9733.25,117379
2025-05-23,9794.0810546875,9920.426104126851,9733.24825310559,9733.24825310559,114011
2025-05-26,9770.6845703125,9794.081803478957,9639.66006458034,9794.081803478957,120767
2025-05-27,9826.837890625,9920.426822916666,9770.68453125,9920.426822916666,93071
2025-05-28,9822.1591796875,9826.838626652574,9794.082497897065,9822.1591796875,104662
2025-05-29,9917.8447265625,9951.334795586106,9865.21747523969,9946.550500011306,138314
2025-05-30,9855.6484375,9879.569914290048,9506.394876365292,9879.569914290048,130534
2025-06-02,9932.197265625,9970.47162888367,9870.001425329661,9960.903038069004,157398
2025-06-04,9960.90234375,10163.756454881124,9951.333753602306,10137.921261482348,246716
2025-06-05,9980.0400390625,10027.882992269895,9803.02111219514,9960.902857779542,149503
2025-06-09,9941.7666015625,9965.688080392054,9936.98230579659,9951.33519309432,243556
2025-06-10,9984.8251953125,9989.60949104576,9932.197942246645,9941.766533713164,226171
2025-06-11,9984.8251953125,10075.72681424443,9970.472308112721,10075.72681424443,176707
2025-06-12,9980.0400390625,10032.667287590633,9941.765676496585,9984.82433438324,263986
2025-06-13,9965.6875,9980.040386461835,9922.6288406145,9980.040386461835,126340
2025-06-16,10013.5302734375,10042.236045841048,9999.177387235726,10042.236045841048,219172
2025-06-17,10056.5888671875,10056.5888671875,9980.040141271706,9980.040141271706,203643
2025-06-18,10061.3740234375,10295.804516613172,10056.589727658406,10056.589727658406,214309
2025-06-19,10094.8642578125,10133.138624666766,10070.942778528584,10133.138624666766,210127
2025-06-20,10056.5888671875,10133.137593103294,9980.040141271706,10094.863230145396,170613
2025-06-23,10099.6474609375,10104.431756276646,10003.961554154577,10056.588802885184,137258
2025-06-24,10123.5693359375,10219.255246485112,10099.647858300596,10219.255246485112,256121
2025-06-25,10185.765625,10190.549920737436,10099.648301726162,10104.432597463598,182638
2025-06-26,10267.09765625,10793.370136300093,10161.843160239981,10300.587723162278,450323
2025-06-27,10223.095703125,10286.653926052128,10179.093856483141,10286.653926052128,357041
2025-06-30,10066.6455078125,10408.882120511322,9968.863618469979,9983.530901871358,381793
2025-07-01,10051.9775390625,10086.201197998997,10027.532068393573,10071.533915597642,383249
2025-07-02,9949.306640625,9988.419394003378,9875.970228040542,9988.419394003378,353199
2025-07-03,9963.9736328125,9975.707458484114,9939.528162663304,9939.528162663304,301647
2025-07-04,10007.9755859375,10032.421056347705,9954.19555103505,9993.308303691378,291161
2025-07-07,10037.310546875,10149.759715203361,9988.41960412354,10003.086886948977,396013
2025-07-08,10076.4228515625,10144.870168361082,10042.19919316321,10144.870168361082,281051
2025-07-09,10120.4248046875,10149.759369338768,10081.312051819143,10149.759369338768,300290
2025-07-10,10125.314453125,10174.205396887071,10125.314453125,10154.649019382243,301804
2025-07-11,10135.0927734375,10139.98186787717,10091.090923480462,10130.203678997828,249824
2025-07-14,10149.759765625,10149.759765625,10110.647011229528,10125.31429412783,308688
2025-07-15,10276.8759765625,10276.8759765625,10183.983187050279,10183.983187050279,311456
2025-07-16,10267.09765625,10364.879538690475,10252.430373883928,10364.879538690475,417910
2025-07-17,10306.2109375,10345.323692481024,10296.432748754743,10345.323692481024,302839
2025-07-18,10335.544921875,10374.657674654092,10315.988545485454,10374.657674654092,415995
2025-07-21,10345.3232421875,10345.3232421875,10291.543206429436,10345.3232421875,421584
2025-07-22,10267.09765625,10330.65587983631,10267.09765625,10330.65587983631,348340
2025-07-23,10262.208984375,10281.765361667758,10227.985324112673,10281.765361667758,282118
2025-07-24,10315.9892578125,10364.880202162321,10296.43288007257,10296.43288007257,500709
2025-07-25,10340.4345703125,10350.212759031472,10320.878192874556,10320.878192874556,406989
2025-07-28,10467.55078125,10467.55078125,10413.770744541103,10413.770744541103,465675
2025-07-29,10580.0,10580.0,10452.883548983365,10506.663585951941,811511
2025-07-30,10435.0,10565.0,10345.0,10565.0,692855
2025-07-31,10435.0,10525.0,10430.0,10525.0,413659
2025-08-01,10470.0,10480.0,10400.0,10440.0,574268
2025-08-04,10485.0,10900.0,10320.0,10395.0,595528
2025-08-05,10605.0,10620.0,10555.0,10600.0,588032
2025-08-06,10650.0,10685.0,10600.0,10605.0,570518
2025-08-07,10690.0,10700.0,10645.0,10655.0,489915
2025-08-08,10715.0,10750.0,10690.0,10750.0,341338
2025-08-11,10750.0,10805.0,10715.0,10770.0,488340
2025-08-12,10670.0,10740.0,10650.0,10740.0,530040
2025-08-13,10720.0,10770.0,10705.0,10770.0,526987
2025-08-14,10700.0,10720.0,10675.0,10710.0,550471
2025-08-18,10620.0,10700.0,10580.0,10700.0,495149
2025-08-19,10540.0,10590.0,10525.0,10590.0,546370
2025-08-20,10220.0,10240.0,10110.0,10240.0,954709
