Price,Close,High,Low,Open,Volume
Ticker,0049K0.KS,0049K0.KS,0049K0.KS,0049K0.KS,0049K0.KS
Date,,,,,
2025-05-13,10116.4931640625,10230.83190744011,10086.66566579008,10230.83190744011,148304
2025-05-14,10111.521484375,10280.543967397984,10076.722737870268,10280.543967397984,131037
2025-05-15,10012.095703125,10111.520685281157,10002.153204909384,10111.520685281157,107479
2025-05-16,10046.8955078125,10093.625254360464,10041.924258179737,10041.924258179737,96134
2025-05-19,10086.6650390625,10116.492535481611,10027.010046224279,10046.89504383702,107306
2025-05-20,10061.80859375,10141.3485826334,10056.837344444788,10086.664840276062,96183
2025-05-21,10046.8955078125,10081.694255241835,10031.981758914213,10061.809256710787,98615
2025-05-22,9977.2978515625,9992.211600219545,9932.556605591368,9992.211600219545,87619
2025-05-23,9942.4990234375,9987.240269042968,9917.642775878907,9987.240269042968,85049
2025-05-26,9937.52734375,9952.44109163957,9897.757349377815,9942.498593046525,88728
2025-05-27,9957.4130859375,9957.4130859375,9927.585587926704,9927.585587926704,84946
2025-05-28,9997.1826171875,10022.03886437096,9982.268868877423,10012.096365497575,86880
2025-05-29,10061.80859375,10091.636089581274,9997.182352782238,9997.182352782238,95863
2025-05-30,10012.095703125,10017.066952232808,9947.4694647235,9967.35446115473,83293
2025-06-02,9962.3837890625,10012.096283019897,9962.3837890625,10012.096283019897,88449
2025-06-04,10012.095703125,10061.808194203079,10012.095703125,10061.808194203079,84627
2025-06-05,9977.2978515625,10096.607840818853,9947.470354248413,10096.607840818853,85841
2025-06-09,10002.154296875,10081.694291283547,9982.269298272862,10081.694291283547,92288
2025-06-10,10027.0107421875,10046.895741180435,9997.183243698097,10007.125743194565,145192
2025-06-11,10071.751953125,10076.723202855072,10036.953205014499,10066.780703394928,115297
2025-06-12,10036.9521484375,10370.025845290058,10012.095902403727,10370.025845290058,20788
2025-06-13,10106.5498046875,10198.020791606461,10012.096068195093,10046.89481321861,81882
2025-06-16,9977.2978515625,9997.182849771893,9942.499104696064,9947.470354248413,25520
2025-06-17,10002.154296875,10012.096796176069,9952.441800369657,9977.298048622328,17969
2025-06-18,10031.9814453125,10061.80894217666,10002.15394844834,10002.15394844834,23588
2025-06-19,10046.8955078125,10056.838007078024,10031.981758914213,10056.838007078024,8621
2025-06-20,10017.0673828125,10056.83737738446,10007.124884169509,10056.83737738446,8849
2025-06-23,10051.8662109375,10056.837460299981,10022.038714762612,10022.038714762612,9557
2025-06-24,10056.8369140625,10081.693159524839,10056.8369140625,10066.779412247435,32217
2025-06-25,10076.72265625,10096.607654091638,10051.866408947952,10056.837658408362,15526
2025-06-26,10046.8955078125,10091.63675450736,9882.844269931345,9882.844269931345,9398
2025-06-27,10085.8017578125,10085.8017578125,10050.885530164287,10080.813725291328,28827
2025-06-30,10070.837890625,10125.706249613051,9891.268715755015,9891.268715755015,31349
2025-07-01,10100.765625,10115.729722222222,10070.837430555555,10070.837430555555,10161
2025-07-02,10180.57421875,10185.562251194267,10115.729796974523,10115.729796974523,18328
2025-07-03,10200.5263671875,10205.514399640891,10175.586204920537,10185.562269827322,10656
2025-07-04,10220.478515625,10509.78439844894,10210.502450700036,10509.78439844894,7759
2025-07-07,10225.466796875,10250.406959794207,10220.47876429116,10240.430894626525,15925
2025-07-08,10225.466796875,10529.736784489329,10205.514666539635,10529.736784489329,12370
2025-07-09,10255.39453125,10255.39453125,10235.44240181177,10245.418466530884,6878
2025-07-10,10260.3828125,10574.628858774915,10260.3828125,10574.628858774915,37931
2025-07-11,10300.287109375,10564.652831794794,10275.346946882568,10564.652831794794,15691
2025-07-14,10285.3232421875,10604.557329238907,10255.395046526432,10604.557329238907,15753
2025-07-15,10320.2392578125,10325.227290319901,10290.311062768094,10295.299095275495,49626
2025-07-16,10275.3466796875,10405.035521275788,10270.358647318719,10405.035521275788,19635
2025-07-17,10310.263671875,10375.108097484277,10285.323508179124,10345.179901049225,11598
2025-07-18,10360.1435546875,10375.10765226288,10330.215359536742,10330.215359536742,9279
2025-07-21,10335.203125,10375.107384169884,10315.250995415057,10360.143286981178,14933
2025-07-22,10320.2392578125,10335.203355334703,10305.275160290297,10335.203355334703,17841
2025-07-23,10315.2509765625,10335.203106110977,10295.298847014023,10335.203106110977,6144
2025-07-24,10295.298828125,10330.215054770773,10285.322763369066,10315.25095763687,13919
2025-07-25,10350.16796875,10355.156001506024,10305.275673945782,10330.215837725904,17023
2025-07-28,10395.0595703125,10439.95186212287,10350.16727850213,10355.155310925504,14382
2025-07-29,10420.0,10424.98803255146,10395.0598372427,10400.04786979416,11992
2025-07-30,10380.0,10475.0,10350.0,10475.0,24769
2025-07-31,10405.0,10690.0,10350.0,10690.0,6881
2025-08-01,10375.0,10475.0,10350.0,10475.0,9070
2025-08-04,10295.0,10390.0,10270.0,10390.0,10722
2025-08-05,10370.0,10375.0,10305.0,10360.0,16250
2025-08-06,10375.0,10380.0,10325.0,10375.0,8662
2025-08-07,10360.0,10685.0,10335.0,10685.0,11075
2025-08-08,10370.0,10375.0,10310.0,10375.0,7784
2025-08-11,10420.0,10680.0,10370.0,10680.0,11055
2025-08-12,10410.0,10440.0,10395.0,10435.0,11630
2025-08-13,10410.0,10455.0,10410.0,10425.0,18226
2025-08-14,10435.0,10450.0,10420.0,10440.0,25697
2025-08-18,10425.0,10450.0,10420.0,10435.0,9590
2025-08-19,10440.0,10440.0,10425.0,10425.0,13909
2025-08-20,10465.0,10470.0,10440.0,10455.0,17365
2025-05-13,10116.4931640625,10230.83190744011,10086.66566579008,10230.83190744011,148304
2025-05-14,10111.521484375,10280.543967397984,10076.722737870268,10280.543967397984,131037
2025-05-15,10012.095703125,10111.520685281157,10002.153204909384,10111.520685281157,107479
2025-05-16,10046.8955078125,10093.625254360464,10041.924258179737,10041.924258179737,96134
2025-05-19,10086.6650390625,10116.492535481611,10027.010046224279,10046.89504383702,107306
2025-05-20,10061.80859375,10141.3485826334,10056.837344444788,10086.664840276062,96183
2025-05-21,10046.8955078125,10081.694255241835,10031.981758914213,10061.809256710787,98615
2025-05-22,9977.2978515625,9992.211600219545,9932.556605591368,9992.211600219545,87619
2025-05-23,9942.4990234375,9987.240269042968,9917.642775878907,9987.240269042968,85049
2025-05-26,9937.52734375,9952.44109163957,9897.757349377815,9942.498593046525,88728
2025-05-27,9957.4130859375,9957.4130859375,9927.585587926704,9927.585587926704,84946
2025-05-28,9997.1826171875,10022.03886437096,9982.268868877423,10012.096365497575,86880
2025-05-29,10061.80859375,10091.636089581274,9997.182352782238,9997.182352782238,95863
2025-05-30,10012.095703125,10017.066952232808,9947.4694647235,9967.35446115473,83293
2025-06-02,9962.3837890625,10012.096283019897,9962.3837890625,10012.096283019897,88449
2025-06-04,10012.095703125,10061.808194203079,10012.095703125,10061.808194203079,84627
2025-06-05,9977.2978515625,10096.607840818853,9947.470354248413,10096.607840818853,85841
2025-06-09,10002.154296875,10081.694291283547,9982.269298272862,10081.694291283547,92288
2025-06-10,10027.0107421875,10046.895741180435,9997.183243698097,10007.125743194565,145192
2025-06-11,10071.751953125,10076.723202855072,10036.953205014499,10066.780703394928,115297
2025-06-12,10036.9521484375,10370.025845290058,10012.095902403727,10370.025845290058,20788
2025-06-13,10106.5498046875,10198.020791606461,10012.096068195093,10046.89481321861,81882
2025-06-16,9977.2978515625,9997.182849771893,9942.499104696064,9947.470354248413,25520
2025-06-17,10002.154296875,10012.096796176069,9952.441800369657,9977.298048622328,17969
2025-06-18,10031.9814453125,10061.80894217666,10002.15394844834,10002.15394844834,23588
2025-06-19,10046.8955078125,10056.838007078024,10031.981758914213,10056.838007078024,8621
2025-06-20,10017.0673828125,10056.83737738446,10007.124884169509,10056.83737738446,8849
2025-06-23,10051.8662109375,10056.837460299981,10022.038714762612,10022.038714762612,9557
2025-06-24,10056.8369140625,10081.693159524839,10056.8369140625,10066.779412247435,32217
2025-06-25,10076.72265625,10096.607654091638,10051.866408947952,10056.837658408362,15526
2025-06-26,10046.8955078125,10091.63675450736,9882.844269931345,9882.844269931345,9398
2025-06-27,10085.8017578125,10085.8017578125,10050.885530164287,10080.813725291328,28827
2025-06-30,10070.837890625,10125.706249613051,9891.268715755015,9891.268715755015,31349
2025-07-01,10100.765625,10115.729722222222,10070.837430555555,10070.837430555555,10161
2025-07-02,10180.57421875,10185.562251194267,10115.729796974523,10115.729796974523,18328
2025-07-03,10200.5263671875,10205.514399640891,10175.586204920537,10185.562269827322,10656
2025-07-04,10220.478515625,10509.78439844894,10210.502450700036,10509.78439844894,7759
2025-07-07,10225.466796875,10250.406959794207,10220.47876429116,10240.430894626525,15925
2025-07-08,10225.466796875,10529.736784489329,10205.514666539635,10529.736784489329,12370
2025-07-09,10255.39453125,10255.39453125,10235.44240181177,10245.418466530884,6878
2025-07-10,10260.3828125,10574.628858774915,10260.3828125,10574.628858774915,37931
2025-07-11,10300.287109375,10564.652831794794,10275.346946882568,10564.652831794794,15691
