Price,Close,High,Low,Open,Volume
Ticker,0066W0.KS,0066W0.KS,0066W0.KS,0066W0.KS,0066W0.KS
Date,,,,,
2025-06-17,9810.0,9835.0,9745.0,9825.0,132297
2025-06-18,9835.0,9925.0,9820.0,9925.0,118780
2025-06-19,9810.0,9920.0,9810.0,9840.0,283812
2025-06-20,9690.0,9875.0,9675.0,9875.0,126068
2025-06-23,9855.0,9870.0,9825.0,9860.0,168211
2025-06-24,9595.0,9830.0,9590.0,9830.0,185328
2025-06-25,9630.0,9640.0,9555.0,9595.0,91046
2025-06-26,9595.0,9635.0,9580.0,9635.0,94849
2025-06-27,9485.0,9575.0,9460.0,9575.0,92805
2025-06-30,9400.0,9430.0,9375.0,9425.0,114044
2025-07-01,9555.0,9580.0,9480.0,9505.0,107151
2025-07-02,9605.0,9630.0,9580.0,9610.0,92902
2025-07-03,9675.0,9690.0,9605.0,9605.0,110963
2025-07-04,9630.0,9670.0,9595.0,9625.0,88888
2025-07-07,9600.0,9640.0,9580.0,9640.0,109662
2025-07-08,9675.0,9705.0,9635.0,9700.0,103054
2025-07-09,9585.0,9640.0,9575.0,9600.0,104481
2025-07-10,9680.0,9690.0,9630.0,9650.0,114776
2025-07-11,9725.0,9725.0,9672.0,9700.0,132695
2025-07-14,9835.0,9840.0,9795.0,9815.0,86216
2025-07-15,9820.0,9850.0,9780.0,9810.0,110475
2025-07-16,9800.0,9820.0,9765.0,9795.0,91633
2025-07-17,9820.0,9865.0,9820.0,9860.0,94693
2025-07-18,9830.0,9855.0,9815.0,9855.0,91228
2025-07-21,9900.0,9920.0,9870.0,9890.0,90591
2025-07-22,9965.0,9990.0,9950.0,9990.0,98251
2025-07-23,10000.0,10060.0,9995.0,10010.0,102597
2025-07-24,9760.0,9895.0,9760.0,9895.0,113942
2025-07-25,9780.0,9825.0,9765.0,9810.0,100751
2025-07-28,9745.0,9760.0,9710.0,9755.0,113306
2025-07-29,9760.0,9785.0,9750.0,9750.0,96970
2025-07-30,9745.0,9815.0,9715.0,9785.0,121335
2025-07-31,9675.0,9725.0,9640.0,9670.0,181464
2025-08-01,9745.0,9765.0,9675.0,9675.0,107484
2025-08-04,9825.0,9900.0,9785.0,9900.0,126039
2025-08-05,9915.0,9920.0,9880.0,9900.0,100290
2025-08-06,9920.0,9965.0,9915.0,9920.0,103269
2025-08-07,9920.0,9960.0,9900.0,9930.0,100885
2025-08-08,10070.0,10080.0,10005.0,10010.0,111481
2025-08-11,9915.0,10025.0,9890.0,10025.0,115879
2025-08-12,9845.0,9915.0,9845.0,9885.0,110739
2025-08-13,9795.0,9840.0,9765.0,9840.0,91761
