Date,Close,High,Low,Open,Volume
,0067Y0.KS,0067Y0.KS,0067Y0.KS,0067Y0.KS,0067Y0.KS
2025-06-17,10040.0,10155.0,10010.0,10155.0,292998
2025-06-18,10055.0,10205.0,9970.0,10130.0,279584
2025-06-19,9925.0,10130.0,9885.0,10055.0,215669
2025-06-20,9785.0,9995.0,9700.0,9995.0,389003
2025-06-23,9905.0,9995.0,9780.0,9995.0,189749
2025-06-24,10000.0,10110.0,9810.0,9910.0,331740
2025-06-25,10245.0,10245.0,10060.0,10225.0,260126
2025-06-26,10225.0,10325.0,10115.0,10200.0,267647
2025-06-27,10150.0,10225.0,10100.0,10225.0,248772
2025-06-30,10150.0,10215.0,9995.0,10150.0,289476
2025-07-01,10175.0,10225.0,10115.0,10225.0,239065
2025-07-02,10005.0,10200.0,9910.0,10150.0,346201
2025-07-03,9860.0,10005.0,9805.0,10005.0,270226
2025-07-04,9865.0,10020.0,9805.0,9860.0,315752
2025-07-07,9795.0,10120.0,9795.0,10120.0,264627
2025-07-08,9960.0,10025.0,9810.0,9865.0,251016
2025-07-09,9995.0,10100.0,9965.0,10100.0,242576
2025-07-10,9990.0,10145.0,9940.0,10145.0,277466
2025-07-11,10150.0,10180.0,9955.0,10130.0,331291
2025-07-14,10130.0,10180.0,10045.0,10150.0,341553
2025-07-15,10545.0,10545.0,10190.0,10400.0,38789
2025-07-16,10645.0,10790.0,10560.0,10785.0,157113
2025-07-17,10690.0,10785.0,10480.0,10785.0,82577
2025-07-18,10895.0,11075.0,10690.0,10690.0,65097
2025-07-21,10845.0,11250.0,10800.0,11250.0,57515
2025-07-22,10810.0,11030.0,10745.0,11030.0,33221
2025-07-23,10905.0,11015.0,10700.0,10890.0,10765
2025-07-24,10830.0,10950.0,10755.0,10755.0,15581
2025-07-25,10970.0,11020.0,10905.0,10905.0,33824
2025-07-28,10940.0,11160.0,10905.0,10970.0,29743
2025-07-29,10990.0,11255.0,10960.0,11255.0,28961
2025-07-30,10855.0,11275.0,10835.0,11275.0,31471
2025-07-31,11225.0,11410.0,10750.0,10860.0,22245
2025-08-01,11200.0,11450.0,11085.0,11450.0,33556
2025-08-04,11045.0,11200.0,10980.0,11200.0,18672
2025-08-05,11105.0,11355.0,11000.0,11355.0,13310
2025-08-06,11160.0,11207.0,11065.0,11195.0,10399
2025-08-07,11110.0,11370.0,11090.0,11370.0,14473
2025-08-08,10960.0,11375.0,10955.0,11375.0,23036
2025-08-11,10910.0,11040.0,10855.0,11040.0,20499
2025-08-12,10750.0,11105.0,10750.0,11030.0,18864
2025-08-13,11070.0,11110.0,10775.0,10990.0,12002
2025-08-14,10990.0,11215.0,10890.0,11070.0,17029
2025-08-14,10990.0,11215.0,10890.0,11070.0,17029
2025-08-18,11270.0,11365.0,10940.0,10990.0,9079
2025-08-19,11365.0,11500.0,11255.0,11500.0,15907
2025-08-20,11265.0,11460.0,11065.0,11460.0,17286
2025-08-21,11290.0,11490.0,11240.0,11490.0,17455
2025-08-22,11710.0,11710.0,11240.0,11470.0,23848
2025-08-25,11940.0,12050.0,11710.0,11710.0,26215
2025-08-26,12100.0,12160.0,11935.0,11940.0,38212
2025-08-27,12260.0,12610.0,11995.0,12100.0,104378
2025-08-28,11950.0,12160.0,11800.0,11995.0,45766
2025-08-29,12200.0,12385.0,11955.0,12385.0,51868
2025-09-01,12325.0,12600.0,12175.0,12300.0,153271
2025-09-02,12040.0,12540.0,11950.0,12540.0,59839
2025-09-03,11865.0,12165.0,11780.0,12070.0,40743
2025-09-04,11355.0,11895.0,11355.0,11895.0,82508
2025-09-05,11545.0,11545.0,11300.0,11435.0,58553
2025-09-05,11545.0,11545.0,11300.0,11435.0,58553
2025-09-05,11545.0,0.0,0.0,0.0,0
2025-09-08,11890.0,11890.0,11540.0,11590.0,80506
2025-09-09,11730.0,11975.0,11675.0,11975.0,77015
2025-09-10,11930.0,12090.0,11750.0,11785.0,80205
2025-09-11,12125.0,12155.0,11760.0,11900.0,61210
2025-09-12,12475.0,12720.0,12095.0,12410.0,158721
