Date,Close,High,Low,Open,Volume
,0072R0.KS,0072R0.KS,0072R0.KS,0072R0.KS,0072R0.KS
2025-06-24,9840.0,10035.0,9835.0,10035.0,1907410
2025-06-25,9870.0,9880.0,9790.0,9840.0,950174
2025-06-26,9840.0,9885.0,9830.0,9885.0,1084689
2025-06-27,9735.0,9880.0,9710.0,9880.0,815817
2025-06-30,9650.0,9720.0,9635.0,9720.0,944962
2025-07-01,9820.0,9820.0,9720.0,9730.0,492683
2025-07-02,9865.0,9920.0,9830.0,9920.0,639257
2025-07-03,9940.0,9950.0,9850.0,9900.0,567169
2025-07-04,9915.0,9940.0,9855.0,9940.0,517940
2025-07-07,9855.0,9885.0,9825.0,9880.0,412774
2025-07-08,9910.0,9950.0,9875.0,9875.0,533163
2025-07-09,9830.0,9910.0,9820.0,9910.0,574491
2025-07-10,9915.0,9935.0,9835.0,9835.0,359338
2025-07-11,9985.0,9985.0,9885.0,9920.0,1045374
2025-07-14,10060.0,10077.0,10035.0,10045.0,791903
2025-07-15,10055.0,10095.0,10020.0,10095.0,796434
2025-07-16,10040.0,10050.0,9990.0,10040.0,532385
2025-07-17,10055.0,10080.0,10045.0,10050.0,712612
2025-07-18,10070.0,10080.0,10050.0,10055.0,377857
2025-07-21,10130.0,10140.0,10075.0,10110.0,387461
2025-07-22,10160.0,10210.0,10155.0,10205.0,386308
2025-07-23,10230.0,10260.0,10205.0,10220.0,742751
2025-07-24,10015.0,10115.0,9985.0,10115.0,792588
2025-07-25,10020.0,10040.0,9985.0,9985.0,465141
2025-07-28,9985.0,9995.0,9935.0,9975.0,381112
2025-07-29,10000.0,10010.0,9965.0,9985.0,316877
2025-07-30,9965.0,10045.0,9955.0,10035.0,511230
2025-07-31,9930.0,9955.0,9860.0,9895.0,686544
2025-08-01,10000.0,10015.0,9930.0,9950.0,340129
2025-08-04,10065.0,10120.0,10035.0,10090.0,492945
2025-08-05,10150.0,10165.0,10085.0,10085.0,1125200
2025-08-06,10155.0,10190.0,10150.0,10160.0,607610
2025-08-07,10145.0,10175.0,10120.0,10170.0,348908
2025-08-08,10320.0,10320.0,10185.0,10190.0,1196325
2025-08-11,10150.0,10265.0,10150.0,10265.0,795798
2025-08-12,10060.0,10155.0,10055.0,10150.0,561539
2025-08-13,10045.0,10060.0,10020.0,10060.0,470502
2025-08-14,10070.0,10105.0,10045.0,10080.0,495536
2025-08-14,10070.0,10105.0,10045.0,10080.0,495536
2025-08-18,10070.0,10090.0,10030.0,10070.0,674544
2025-08-19,10065.0,10070.0,10010.0,10060.0,525715
2025-08-20,10080.0,10090.0,10020.0,10060.0,733924
2025-08-21,10105.0,10140.0,10100.0,10100.0,1010616
2025-08-22,10055.0,10125.0,10050.0,10105.0,377245
2025-08-25,10115.0,10200.0,10095.0,10160.0,563339
2025-08-26,10205.0,10215.0,10110.0,10115.0,515462
2025-08-27,10230.0,10270.0,10210.0,10235.0,737534
2025-08-28,10210.0,10265.0,10200.0,10255.0,484330
2025-08-29,10285.0,10305.0,10260.0,10305.0,500181
2025-09-01,10545.0,10545.0,10340.0,10340.0,1415763
