Price,Close,High,Low,Open,Volume
Ticker,0078V0.KS,0078V0.KS,0078V0.KS,0078V0.KS,0078V0.KS
Date,,,,,
2025-07-22,10065.0,10110.0,10025.0,10110.0,357374
2025-07-23,10240.0,10245.0,10165.0,10230.0,314716
2025-07-24,10245.0,10360.0,10215.0,10360.0,261951
2025-07-25,10170.0,10230.0,10130.0,10230.0,180528
2025-07-28,10610.0,10610.0,10300.0,10335.0,222160
2025-07-29,10390.0,10495.0,10365.0,10490.0,249257
2025-07-30,10055.0,10150.0,10005.0,10150.0,209668
2025-07-31,10045.0,10065.0,9925.0,10040.0,241844
2025-08-01,9890.0,9950.0,9870.0,9950.0,222339
2025-08-04,9630.0,9665.0,9600.0,9640.0,196858
2025-08-05,9905.0,9920.0,9780.0,9865.0,220204
2025-08-06,9870.0,9900.0,9775.0,9835.0,202164
2025-08-07,9865.0,9900.0,9840.0,9860.0,209071
2025-08-08,10160.0,10160.0,10070.0,10150.0,188832
2025-08-11,10100.0,10435.0,10050.0,10435.0,215667
2025-08-12,10040.0,10130.0,10040.0,10130.0,175732
2025-08-13,10115.0,10220.0,10115.0,10215.0,213536
2025-08-14,10400.0,10415.0,10350.0,10350.0,199572
2025-08-18,10530.0,10610.0,10490.0,10515.0,201292
2025-08-19,10640.0,10640.0,10555.0,10620.0,176717
2025-08-20,10400.0,10490.0,10355.0,10355.0,21657
2025-07-22,10065.0,10110.0,10025.0,10110.0,357374
2025-07-23,10240.0,10245.0,10165.0,10230.0,314716
2025-07-24,10245.0,10360.0,10215.0,10360.0,261951
2025-07-25,10170.0,10230.0,10130.0,10230.0,180528
2025-07-28,10610.0,10610.0,10300.0,10335.0,222160
2025-07-29,10390.0,10495.0,10365.0,10490.0,249257
2025-07-30,10055.0,10150.0,10005.0,10150.0,209668
2025-07-31,10045.0,10065.0,9925.0,10040.0,241844
2025-08-01,9890.0,9950.0,9870.0,9950.0,222339
2025-08-04,9630.0,9665.0,9600.0,9640.0,196858
2025-08-05,9905.0,9920.0,9780.0,9865.0,220204
2025-08-06,9870.0,9900.0,9775.0,9835.0,202164
2025-08-07,9865.0,9900.0,9840.0,9860.0,209071
2025-08-08,10160.0,10160.0,10070.0,10150.0,188832
2025-08-11,10100.0,10435.0,10050.0,10435.0,215667
2025-08-12,10040.0,10130.0,10040.0,10130.0,175732
2025-08-13,10115.0,10220.0,10115.0,10215.0,213536
2025-08-14,10400.0,10415.0,10350.0,10350.0,199572
2025-08-18,10530.0,10610.0,10490.0,10515.0,201292
2025-08-19,10640.0,10640.0,10555.0,10620.0,176717
2025-08-20,10400.0,10490.0,10355.0,10355.0,21573
2025-08-21,10285.0,10290.0,10230.0,10290.0,19703
2025-08-22,10180.0,10295.0,10180.0,10295.0,16104
2025-08-25,10555.0,10560.0,10490.0,10560.0,46517
2025-08-26,10595.0,10610.0,10500.0,10610.0,47766
2025-08-27,10720.0,10755.0,10640.0,10755.0,25039
2025-07-22,10065.0,10110.0,10025.0,10110.0,357374
2025-07-23,10240.0,10245.0,10165.0,10230.0,314716
2025-07-24,10245.0,10360.0,10215.0,10360.0,261951
2025-07-25,10170.0,10230.0,10130.0,10230.0,180528
2025-07-28,10610.0,10610.0,10300.0,10335.0,222160
2025-07-29,10390.0,10495.0,10365.0,10490.0,249257
2025-07-30,10055.0,10150.0,10005.0,10150.0,209668
2025-07-31,10045.0,10065.0,9925.0,10040.0,241844
2025-08-01,9890.0,9950.0,9870.0,9950.0,222339
2025-08-04,9630.0,9665.0,9600.0,9640.0,196858
2025-08-05,9905.0,9920.0,9780.0,9865.0,220204
2025-08-06,9870.0,9900.0,9775.0,9835.0,202164
2025-08-07,9865.0,9900.0,9840.0,9860.0,209071
2025-08-08,10160.0,10160.0,10070.0,10150.0,188832
2025-08-11,10100.0,10435.0,10050.0,10435.0,215667
2025-08-12,10040.0,10130.0,10040.0,10130.0,175732
2025-08-13,10115.0,10220.0,10115.0,10215.0,213536
2025-08-14,10400.0,10415.0,10350.0,10350.0,199572
2025-08-18,10530.0,10610.0,10490.0,10515.0,201292
2025-08-19,10640.0,10640.0,10555.0,10620.0,176717
2025-08-20,10400.0,10490.0,10355.0,10355.0,21573
2025-08-21,10285.0,10290.0,10230.0,10290.0,19703
2025-08-22,10180.0,10295.0,10180.0,10295.0,16104
2025-08-25,10555.0,10560.0,10490.0,10560.0,46517
2025-08-26,10595.0,10610.0,10500.0,10610.0,47766
2025-08-27,10720.0,10755.0,10640.0,10755.0,25039
