Date,Close,High,Low,Open,Volume
,0082F0.KS,0082F0.KS,0082F0.KS,0082F0.KS,0082F0.KS
2025-07-29,9730.0,9860.0,9690.0,9860.0,284350
2025-07-30,9950.0,10015.0,9895.0,9900.0,212568
2025-07-31,9860.0,9955.0,9800.0,9955.0,201718
2025-08-01,10085.0,10085.0,9885.0,9890.0,181973
2025-08-04,9850.0,10420.0,9815.0,10385.0,348649
2025-08-05,10020.0,10085.0,10005.0,10085.0,291579
2025-08-06,10070.0,10090.0,9930.0,9930.0,258596
2025-08-07,10270.0,10330.0,10080.0,10080.0,272266
2025-08-08,9965.0,10020.0,9900.0,10020.0,277449
2025-08-11,9825.0,9965.0,9755.0,9965.0,209850
2025-08-12,9735.0,9855.0,9720.0,9855.0,259717
2025-08-13,9900.0,9905.0,9840.0,9900.0,235149
2025-08-14,9890.0,9915.0,9855.0,9900.0,237788
2025-08-14,9890.0,9915.0,9855.0,9900.0,237788
2025-08-18,10060.0,10080.0,9890.0,9890.0,268458
2025-08-19,10205.0,10205.0,10120.0,10120.0,251796
2025-08-20,9870.0,9905.0,9815.0,9860.0,261029
2025-08-21,9790.0,9855.0,9760.0,9770.0,220891
2025-08-22,9910.0,9975.0,9840.0,9840.0,194638
2025-08-25,9970.0,9970.0,9875.0,9875.0,267837
2025-08-26,10060.0,10060.0,10000.0,10000.0,228138
2025-08-27,9985.0,10075.0,9975.0,9975.0,280515
2025-08-28,9920.0,10065.0,9910.0,10065.0,253766
2025-08-29,9955.0,10030.0,9930.0,10000.0,259651
2025-09-01,10025.0,10035.0,9930.0,9960.0,10212
2025-09-02,10270.0,10280.0,10165.0,10200.0,30760
2025-09-03,10000.0,10090.0,9965.0,10040.0,27670
2025-09-04,10140.0,10140.0,10050.0,10050.0,15631
2025-09-05,10000.0,10130.0,9980.0,10130.0,10530
2025-09-05,10000.0,10130.0,9980.0,10130.0,10836
2025-09-05,10000.0,0.0,0.0,0.0,0
