Price,Close,High,Low,Open,Volume
Ticker,0085P0.KS,0085P0.KS,0085P0.KS,0085P0.KS,0085P0.KS
Date,,,,,
2025-07-22,10020.0,10045.0,9990.0,9990.0,217681
2025-07-23,9990.0,10015.0,9960.0,10005.0,263330
2025-07-24,9870.0,9940.0,9845.0,9935.0,208537
2025-07-25,9955.0,9955.0,9905.0,9910.0,207294
2025-07-28,9980.0,10000.0,9960.0,9960.0,212822
2025-07-29,10050.0,10080.0,10050.0,10065.0,200365
2025-07-30,10035.0,10090.0,10020.0,10090.0,203588
2025-07-31,10080.0,10125.0,10050.0,10085.0,238265
2025-08-01,10150.0,10165.0,10090.0,10090.0,196492
2025-08-04,10130.0,10165.0,9975.0,10030.0,252387
2025-08-05,10185.0,10200.0,10160.0,10165.0,190818
2025-08-06,10185.0,10205.0,10175.0,10180.0,221694
2025-08-07,10135.0,10185.0,10125.0,10170.0,210000
2025-08-08,10180.0,10182.0,10075.0,10135.0,206869
2025-08-11,10165.0,10175.0,10140.0,10170.0,200692
2025-08-12,10155.0,10185.0,10150.0,10170.0,172676
2025-08-13,10120.0,10150.0,10110.0,10125.0,210654
2025-08-14,10145.0,10165.0,10100.0,10120.0,213576
2025-08-18,10110.0,10125.0,10085.0,10125.0,248624
2025-08-19,10125.0,10127.0,10090.0,10110.0,222921
2025-08-20,10200.0,10205.0,10135.0,10140.0,67642
2025-07-22,10020.0,10045.0,9990.0,9990.0,217681
2025-07-23,9990.0,10015.0,9960.0,10005.0,263330
2025-07-24,9870.0,9940.0,9845.0,9935.0,208537
2025-07-25,9955.0,9955.0,9905.0,9910.0,207294
2025-07-28,9980.0,10000.0,9960.0,9960.0,212822
2025-07-29,10050.0,10080.0,10050.0,10065.0,200365
2025-07-30,10035.0,10090.0,10020.0,10090.0,203588
2025-07-31,10080.0,10125.0,10050.0,10085.0,238265
2025-08-01,10150.0,10165.0,10090.0,10090.0,196492
2025-08-04,10130.0,10165.0,9975.0,10030.0,252387
2025-08-05,10185.0,10200.0,10160.0,10165.0,190818
2025-08-06,10185.0,10205.0,10175.0,10180.0,221694
2025-08-07,10135.0,10185.0,10125.0,10170.0,210000
2025-08-08,10180.0,10182.0,10075.0,10135.0,206869
2025-08-11,10165.0,10175.0,10140.0,10170.0,200692
2025-08-12,10155.0,10185.0,10150.0,10170.0,172676
2025-08-13,10120.0,10150.0,10110.0,10125.0,210654
2025-08-14,10145.0,10165.0,10100.0,10120.0,213576
2025-08-18,10110.0,10125.0,10085.0,10125.0,248624
2025-08-19,10125.0,10127.0,10090.0,10110.0,222921
2025-08-20,10200.0,10205.0,10135.0,10140.0,65244
2025-08-21,10225.0,10240.0,10205.0,10220.0,35340
2025-08-22,10140.0,10205.0,10125.0,10205.0,61255
2025-08-25,10130.0,10165.0,10130.0,10145.0,145445
2025-08-26,10185.0,10185.0,10135.0,10165.0,34212
2025-08-27,10210.0,10220.0,10195.0,10210.0,34409
2025-07-22,10020.0,10045.0,9990.0,9990.0,217681
2025-07-23,9990.0,10015.0,9960.0,10005.0,263330
2025-07-24,9870.0,9940.0,9845.0,9935.0,208537
2025-07-25,9955.0,9955.0,9905.0,9910.0,207294
2025-07-28,9980.0,10000.0,9960.0,9960.0,212822
2025-07-29,10050.0,10080.0,10050.0,10065.0,200365
2025-07-30,10035.0,10090.0,10020.0,10090.0,203588
2025-07-31,10080.0,10125.0,10050.0,10085.0,238265
2025-08-01,10150.0,10165.0,10090.0,10090.0,196492
2025-08-04,10130.0,10165.0,9975.0,10030.0,252387
2025-08-05,10185.0,10200.0,10160.0,10165.0,190818
2025-08-06,10185.0,10205.0,10175.0,10180.0,221694
2025-08-07,10135.0,10185.0,10125.0,10170.0,210000
2025-08-08,10180.0,10182.0,10075.0,10135.0,206869
2025-08-11,10165.0,10175.0,10140.0,10170.0,200692
2025-08-12,10155.0,10185.0,10150.0,10170.0,172676
2025-08-13,10120.0,10150.0,10110.0,10125.0,210654
2025-08-14,10145.0,10165.0,10100.0,10120.0,213576
2025-08-18,10110.0,10125.0,10085.0,10125.0,248624
2025-08-19,10125.0,10127.0,10090.0,10110.0,222921
2025-08-20,10200.0,10205.0,10135.0,10140.0,65244
2025-08-21,10225.0,10240.0,10205.0,10220.0,35340
2025-08-22,10140.0,10205.0,10125.0,10205.0,61255
2025-08-25,10130.0,10165.0,10130.0,10145.0,145445
2025-08-26,10185.0,10185.0,10135.0,10165.0,34212
2025-08-27,10210.0,10220.0,10195.0,10210.0,34409
