Price,Close,High,Low,Open,Volume
Ticker,0088N0.KS,0088N0.KS,0088N0.KS,0088N0.KS,0088N0.KS
Date,,,,,
2025-08-12,9605.0,9890.0,9585.0,9870.0,157607
2025-08-13,9555.0,9710.0,9415.0,9710.0,55505
2025-08-14,9605.0,9630.0,9515.0,9540.0,68139
2025-08-18,9495.0,9525.0,9450.0,9500.0,81912
2025-08-19,9300.0,9470.0,9250.0,9470.0,123146
2025-08-20,9180.0,9190.0,8850.0,9030.0,59437
2025-08-12,9605.0,9890.0,9585.0,9870.0,157607
2025-08-13,9555.0,9710.0,9415.0,9710.0,55505
2025-08-14,9605.0,9630.0,9515.0,9540.0,68139
2025-08-18,9495.0,9525.0,9450.0,9500.0,81912
2025-08-19,9300.0,9470.0,9250.0,9470.0,123146
2025-08-20,9180.0,9190.0,8850.0,9030.0,59337
2025-08-21,9395.0,9410.0,9240.0,9250.0,124501
2025-08-22,9455.0,9525.0,9405.0,9405.0,56801
2025-08-25,9550.0,9595.0,9500.0,9570.0,118405
2025-08-26,9500.0,9555.0,9455.0,9555.0,77443
2025-08-27,9445.0,9570.0,9380.0,9570.0,82141
2025-08-12,9605.0,9890.0,9585.0,9870.0,157607
2025-08-13,9555.0,9710.0,9415.0,9710.0,55505
2025-08-14,9605.0,9630.0,9515.0,9540.0,68139
2025-08-18,9495.0,9525.0,9450.0,9500.0,81912
2025-08-19,9300.0,9470.0,9250.0,9470.0,123146
2025-08-20,9180.0,9190.0,8850.0,9030.0,59337
2025-08-21,9395.0,9410.0,9240.0,9250.0,124501
2025-08-22,9455.0,9525.0,9405.0,9405.0,56801
2025-08-25,9550.0,9595.0,9500.0,9570.0,118405
2025-08-26,9500.0,9555.0,9455.0,9555.0,77443
2025-08-27,9445.0,9570.0,9380.0,9570.0,82141
2025-08-12,9605.0,9890.0,9585.0,9870.0,157607
2025-08-13,9555.0,9710.0,9415.0,9710.0,55505
2025-08-14,9605.0,9630.0,9515.0,9540.0,68139
2025-08-18,9495.0,9525.0,9450.0,9500.0,81912
2025-08-19,9300.0,9470.0,9250.0,9470.0,123146
2025-08-20,9180.0,9190.0,8850.0,9030.0,59337
2025-08-21,9395.0,9410.0,9240.0,9250.0,124501
2025-08-22,9455.0,9525.0,9405.0,9405.0,56801
2025-08-25,9550.0,9595.0,9500.0,9570.0,118405
2025-08-26,9500.0,9555.0,9455.0,9555.0,77443
2025-08-27,9445.0,9570.0,9380.0,9570.0,82141
2025-08-28,9430.0,9435.0,9300.0,9340.0,64073
2025-08-12,9605.0,9890.0,9585.0,9870.0,157607
2025-08-13,9555.0,9710.0,9415.0,9710.0,55505
2025-08-14,9605.0,9630.0,9515.0,9540.0,68139
