Price,Close,High,Low,Open,Volume
Ticker,0089C0.KS,0089C0.KS,0089C0.KS,0089C0.KS,0089C0.KS
Date,,,,,
2025-08-12,9970.0,9985.0,9930.0,9965.0,914706
2025-08-13,10015.0,10040.0,10005.0,10025.0,475663
2025-08-14,10040.0,10070.0,10015.0,10030.0,442601
2025-08-18,10045.0,10095.0,10045.0,10085.0,3999357
2025-08-19,10065.0,10080.0,10040.0,10065.0,549754
2025-08-20,10055.0,10070.0,10025.0,10035.0,468530
2025-08-12,9970.0,9985.0,9930.0,9965.0,914706
2025-08-13,10015.0,10040.0,10005.0,10025.0,475663
2025-08-14,10040.0,10070.0,10015.0,10030.0,442601
2025-08-18,10045.0,10095.0,10045.0,10085.0,3999357
2025-08-19,10065.0,10080.0,10040.0,10065.0,549754
2025-08-20,10055.0,10070.0,10025.0,10035.0,468530
2025-08-21,10055.0,10060.0,10025.0,10050.0,465962
2025-08-22,9960.0,10040.0,9955.0,10040.0,512117
2025-08-25,10055.0,10085.0,10045.0,10085.0,265854
2025-08-26,10085.0,10085.0,10010.0,10055.0,380490
2025-08-27,10145.0,10145.0,10120.0,10140.0,344321
2025-08-12,9970.0,9985.0,9930.0,9965.0,914706
2025-08-13,10015.0,10040.0,10005.0,10025.0,475663
2025-08-14,10040.0,10070.0,10015.0,10030.0,442601
2025-08-18,10045.0,10095.0,10045.0,10085.0,3999357
2025-08-19,10065.0,10080.0,10040.0,10065.0,549754
2025-08-20,10055.0,10070.0,10025.0,10035.0,468530
2025-08-21,10055.0,10060.0,10025.0,10050.0,465962
2025-08-22,9960.0,10040.0,9955.0,10040.0,512117
2025-08-25,10055.0,10085.0,10045.0,10085.0,265854
2025-08-26,10085.0,10085.0,10010.0,10055.0,380490
2025-08-27,10145.0,10145.0,10120.0,10140.0,344321
2025-08-12,9970.0,9985.0,9930.0,9965.0,914706
2025-08-13,10015.0,10040.0,10005.0,10025.0,475663
2025-08-14,10040.0,10070.0,10015.0,10030.0,442601
2025-08-18,10045.0,10095.0,10045.0,10085.0,3999357
2025-08-19,10065.0,10080.0,10040.0,10065.0,549754
2025-08-20,10055.0,10070.0,10025.0,10035.0,468530
2025-08-21,10055.0,10060.0,10025.0,10050.0,465962
2025-08-22,9960.0,10040.0,9955.0,10040.0,512117
2025-08-25,10055.0,10085.0,10045.0,10085.0,265854
2025-08-26,10085.0,10085.0,10010.0,10055.0,380490
2025-08-27,10145.0,10145.0,10120.0,10140.0,344321
2025-08-28,10100.0,10105.0,10080.0,10090.0,421183
2025-08-12,9970.0,9985.0,9930.0,9965.0,914706
2025-08-13,10015.0,10040.0,10005.0,10025.0,475663
2025-08-14,10040.0,10070.0,10015.0,10030.0,442601
2025-08-18,10045.0,10095.0,10045.0,10085.0,3999357
2025-08-19,10065.0,10080.0,10040.0,10065.0,549754
2025-08-20,10055.0,10070.0,10025.0,10035.0,468530
2025-08-21,10055.0,10060.0,10025.0,10050.0,465962
2025-08-22,9960.0,10040.0,9955.0,10040.0,512117
2025-08-25,10055.0,10085.0,10045.0,10085.0,265854
2025-08-26,10085.0,10085.0,10010.0,10055.0,380490
2025-08-27,10145.0,10145.0,10120.0,10140.0,344321
2025-08-28,10100.0,10105.0,10080.0,10090.0,421183
2025-08-29,10150.0,10150.0,10100.0,10125.0,373335
2025-09-01,10085.0,10140.0,10080.0,10115.0,347863
2025-08-12,9970.0,9985.0,9930.0,9965.0,914706
2025-08-13,10015.0,10040.0,10005.0,10025.0,475663
2025-08-14,10040.0,10070.0,10015.0,10030.0,442601
2025-08-18,10045.0,10095.0,10045.0,10085.0,3999357
2025-08-19,10065.0,10080.0,10040.0,10065.0,549754
2025-08-20,10055.0,10070.0,10025.0,10035.0,468530
2025-08-21,10055.0,10060.0,10025.0,10050.0,465962
2025-08-22,9960.0,10040.0,9955.0,10040.0,512117
2025-08-25,10055.0,10085.0,10045.0,10085.0,265854
2025-08-26,10085.0,10085.0,10010.0,10055.0,380490
2025-08-27,10145.0,10145.0,10120.0,10140.0,344321
2025-08-28,10100.0,10105.0,10080.0,10090.0,421183
2025-08-29,10150.0,10150.0,10100.0,10125.0,373335
2025-09-01,10085.0,10140.0,10080.0,10115.0,347863
2025-09-02,10100.0,10135.0,10082.0,10110.0,893737
2025-09-03,10045.0,10090.0,10035.0,10070.0,482879
2025-09-04,10100.0,10125.0,10065.0,10080.0,1057222
2025-09-05,10195.0,10195.0,10165.0,10170.0,428097
