Date,Close,High,Low,Open,Volume
,322400.KS,322400.KS,322400.KS,322400.KS,322400.KS
2020-08-18,13068.400390625,13406.294209901904,12944.664625819374,13353.944463253369,177996
2020-08-19,13263.521484375,13306.353093043595,13073.158779181244,13258.762416745156,83480
2020-08-20,12835.2060546875,13301.594706285341,12735.265629345105,13258.763095424314,66415
2020-08-21,13039.8447265625,13106.471670420848,12849.482029824361,13035.085659144046,96952
2020-08-24,13268.2802734375,13268.2802734375,12977.97715411193,13068.39943718055,70915
2020-08-25,13482.4384765625,13482.4384765625,13296.834840633825,13353.943651688802,142204
2020-08-26,13653.7646484375,13677.559985921705,13396.775003608072,13525.269826022786,351339
2020-08-27,13739.4287109375,13905.99608360214,13668.042694081227,13791.7784566321,244641
2020-08-28,13791.7783203125,13877.441539693324,13606.174678320716,13787.019252569122,215201
2020-08-31,13791.7783203125,14058.286113941727,13687.078829958162,13796.53738805588,255128
2020-09-01,13772.7421875,13934.550492398066,13725.151509588804,13905.996085651348,205179
2020-09-02,13953.5869140625,13982.141321117198,13801.296743104109,13806.05581094656,160718
2020-09-03,14024.97265625,14063.045198241856,13872.682488282575,14063.045198241856,201744
2020-09-04,13772.7421875,13834.610068784554,13558.58413689962,13568.10227248186,242416
2020-09-07,13653.7646484375,13858.404550801673,13553.824231003835,13858.404550801673,137166
2020-09-08,13577.6201171875,13767.982824754097,13453.884357269213,13587.13825256583,171804
2020-09-09,13425.330078125,13468.16168773263,13296.83524930211,13358.703129846464,160721
2020-09-10,13534.7880859375,13629.969436752812,13434.847667581422,13496.715545611374,120409
2020-09-11,13553.82421875,13558.583286242538,13430.088463943996,13449.12473391415,89762
2020-09-14,13615.6923828125,13668.042126332577,13506.233828179615,13668.042126332577,59940
2020-09-15,13729.9111328125,13767.983676681652,13568.10282136861,13620.452569188692,138778
2020-09-16,13687.0771484375,13796.53569308773,13639.486476850443,13734.667820024557,107352
2020-09-17,13544.306640625,13639.487994389054,13463.402489925553,13639.487994389054,75828
2020-09-18,13572.861328125,13615.692938206741,13439.607430092918,13568.10226033814,152085
2020-09-21,13330.1484375,13610.933427793645,13263.521490650659,13587.138089633167,58072
2020-09-22,12973.2197265625,13330.149836427572,12925.629045247157,13292.077291375297,220713
2020-09-23,13139.78515625,13201.653032755343,12854.241110840727,12973.217796427924,50730
2020-09-24,12911.3505859375,13058.88168367582,12830.446435564872,12944.664059620347,28010
2020-09-25,12935.146484375,12992.255298875552,12801.892583873712,12873.278601999402,58733
2020-09-28,13244.484375,13263.52064431369,12911.34966201042,12911.34966201042,35273
2020-09-29,13273.0400390625,13353.944191326416,13187.376819018353,13353.944191326416,56707
2020-10-05,13430.087890625,13430.087890625,13234.966131760497,13344.424679416194,94565
2020-10-06,13563.3427734375,13610.933449835526,13430.088879523026,13468.161420641447,146119
2020-10-07,13596.6572265625,13625.211634458676,13444.367051116227,13510.994002873971,106252
2020-10-08,13587.138671875,13796.537656660465,13553.825197022767,13596.656807547066,106969
2020-10-12,13544.306640625,13706.114942023893,13487.197828366567,13620.451723636243,32934
2020-10-13,13601.4140625,13620.450331306858,13491.955516860568,13491.955516860568,21912
